src,dst,generated,served,served1
6,24,200,75,375
6,25,224,89,445
6,26,211,203,1015
6,27,199,195,975
7,8,198,198,990
7,9,220,218,1090
7,10,214,180,900
7,11,222,201,1005
7,12,206,203,1015
7,13,225,147,735
7,14,192,150,750
7,15,226,223,1115
7,16,221,218,1090
7,17,212,211,1055
7,18,230,164,820
7,19,199,80,400
7,20,210,108,540
7,21,215,210,1050
7,22,204,201,1005
7,23,218,214,1070
7,24,212,68,340
7,25,209,86,430
7,26,201,195,975
7,27,203,194,970
8,9,206,205,1025
8,10,196,185,925
8,11,234,231,1155
8,12,205,205,1025
8,13,228,199,995
8,14,192,175,875
8,15,214,214,1070
8,16,209,208,1040
8,17,206,206,1030
8,18,207,177,885
8,19,195,112,560
8,20,226,165,825
8,21,199,199,995
8,22,187,187,935
8,23,227,226,1130
8,24,214,77,385
8,25,210,103,515
8,26,210,208,1040
8,27,228,224,1120
9,10,217,191,955
9,11,230,213,1065
9,12,202,202,1010
9,13,205,150,750
9,14,221,189,945
9,15,203,201,1005
9,16,202,202,1010
9,17,224,224,1120
9,18,209,164,820
9,19,239,113,565
9,20,223,131,655
9,21,202,200,1000
9,22,182,182,910
9,23,217,214,1070
9,24,225,83,415
9,25,196,61,305
9,26,208,204,1020
9,27,221,220,1100
10,11,210,210,1050
10,12,210,196,980
10,13,207,207,1035
10,14,213,212,1060
10,15,210,200,1000
10,16,204,187,935
10,17,234,160,800
10,18,185,184,920
10,19,203,200,1000
10,20,234,232,1160
10,21,203,185,925
10,22,230,178,890
10,23,229,117,585
10,24,214,211,1055
10,25,224,223,1115
10,26,222,135,675
10,27,211,87,435
11,12,212,202,1010
11,13,217,216,1080
11,14,211,210,1050
11,15,234,223,1115
11,16,206,197,985
11,17,222,196,980
11,18,203,200,1000
11,19,208,208,1040
11,20,222,216,1080
11,21,199,186,930
11,22,241,220,1100
11,23,229,177,885
11,24,220,217,1085
11,25,220,215,1075
11,26,200,171,855
11,27,200,127,635
12,13,216,183,915
12,14,219,207,1035
12,15,217,217,1085
12,16,205,204,1020
12,17,205,205,1025
12,18,213,191,955
12,19,226,129,645
12,20,198,140,700
12,21,210,209,1045
12,22,244,242,1210
12,23,201,199,995
12,24,199,100,500
12,25,220,112,560
12,26,229,228,1140
12,27,212,211,1055
13,14,197,195,975
13,15,222,212,1060
13,16,206,191,955
13,17,191,129,645
13,18,220,219,1095
13,19,232,231,1155
13,20,241,241,1205
13,21,230,213,1065
13,22,237,200,1000
13,23,242,161,805
13,24,199,198,990
13,25,221,220,1100
13,26,241,179,895
13,27,232,149,745
14,15,193,185,925
14,16,202,195,975
14,17,243,212,1060
14,18,195,193,965
14,19,214,211,1055
14,20,212,210,1050
14,21,191,179,895
14,22,214,199,995
14,23,200,165,825
14,24,213,212,1060
14,25,188,184,920
14,26,201,181,905
14,27,239,185,925
15,16,207,206,1030
15,17,239,239,1195
15,18,196,185,925
15,19,234,226,1130
15,20,207,203,1015
15,21,192,188,940
15,22,227,222,1110
15,23,213,213,1065
15,24,216,183,915
15,25,208,176,880
15,26,203,198,990
15,27,223,218,1090
16,17,190,190,950
16,18,248,242,1210
16,19,214,178,890
16,20,205,186,930
16,21,232,227,1135
16,22,215,214,1070
16,23,230,229,1145
16,24,218,131,655
16,25,215,156,780
16,26,206,206,1030
16,27,190,189,945
17,18,224,193,965
17,19,206,137,685
17,20,197,135,675
17,21,201,197,985
17,22,200,200,1000
17,23,231,231,1155
17,24,226,131,655
17,25,207,118,590
17,26,215,213,1065
17,27,195,195,975
18,19,212,210,1050
18,20,185,184,920
18,21,216,193,965
18,22,228,217,1085
18,23,202,187,935
18,24,199,199,995
18,25,215,213,1065
18,26,208,155,775
18,27,195,178,890
19,20,212,211,1055
19,21,205,195,975
19,22,222,162,810
19,23,221,152,760
19,24,175,175,875
19,25,194,193,965
19,26,195,160,800
19,27,213,134,670
20,21,200,176,880
20,22,230,211,1055
20,23,191,157,785
20,24,225,223,1115
20,25,191,191,955
20,26,237,221,1105
20,27,206,188,940
21,22,229,229,1145
21,23,217,215,1075
21,24,221,208,1040
21,25,248,226,1130
21,26,202,199,995
21,27,191,187,935
22,23,228,228,1140
22,24,219,160,800
22,25,204,166,830
22,26,204,203,1015
22,27,186,186,930
23,24,243,182,910
23,25,205,156,780
23,26,228,228,1140
23,27,220,219,1095
24,25,226,226,1130
24,26,197,175,875
24,27,213,175,875
25,26,214,206,1030
25,27,189,174,870
26,27,193,193,965
