src,dst,generated,served,served1
8,22,201,200,1000
8,23,227,225,1125
8,24,253,148,740
8,25,242,153,765
8,26,215,212,1060
8,27,211,209,1045
9,10,202,168,840
9,11,222,210,1050
9,12,209,207,1035
9,13,204,121,605
9,14,220,183,915
9,15,216,215,1075
9,16,224,221,1105
9,17,234,234,1170
9,18,209,161,805
9,19,209,102,510
9,20,217,140,700
9,21,223,218,1090
9,22,231,228,1140
9,23,240,239,1195
9,24,225,126,630
9,25,217,121,605
9,26,216,211,1055
9,27,258,255,1275
10,11,202,202,1010
10,12,223,195,975
10,13,199,199,995
10,14,218,216,1080
10,15,216,209,1045
10,16,213,198,990
10,17,235,165,825
10,18,226,225,1125
10,19,195,194,970
10,20,220,219,1095
10,21,201,195,975
10,22,211,188,940
10,23,226,151,755
10,24,224,221,1105
10,25,222,222,1110
10,26,207,172,860
10,27,211,135,675
11,12,228,227,1135
11,13,215,215,1075
11,14,225,225,1125
11,15,228,224,1120
11,16,231,227,1135
11,17,231,208,1040
11,18,233,232,1160
11,19,213,209,1045
11,20,205,203,1015
11,21,213,209,1045
11,22,237,228,1140
11,23,208,188,940
11,24,229,226,1130
11,25,220,215,1075
11,26,222,217,1085
11,27,211,186,930
12,13,213,148,740
12,14,216,191,955
12,15,217,214,1070
12,16,205,205,1025
12,17,217,217,1085
12,18,234,194,970
12,19,222,123,615
12,20,236,170,850
12,21,215,212,1060
12,22,214,214,1070
12,23,218,217,1085
12,24,199,108,540
12,25,223,120,600
12,26,216,213,1065
12,27,232,228,1140
13,14,218,218,1090
13,15,213,208,1040
13,16,235,199,995
13,17,232,128,640
13,18,222,222,1110
13,19,201,200,1000
13,20,236,236,1180
13,21,239,233,1165
13,22,233,186,930
13,23,230,143,715
13,24,207,207,1035
13,25,239,239,1195
13,26,253,224,1120
13,27,243,175,875
14,15,217,214,1070
14,16,192,181,905
14,17,218,170,850
14,18,212,212,1060
14,19,233,229,1145
14,20,214,212,1060
14,21,214,209,1045
14,22,216,207,1035
14,23,212,173,865
14,24,199,199,995
14,25,224,220,1100
14,26,229,222,1110
14,27,208,186,930
15,16,223,222,1110
15,17,238,234,1170
15,18,231,227,1135
15,19,195,173,865
15,20,226,216,1080
15,21,250,249,1245
15,22,187,185,925
15,23,235,231,1155
15,24,240,206,1030
15,25,203,188,940
15,26,198,197,985
15,27,220,219,1095
16,17,204,203,1015
16,18,225,219,1095
16,19,214,170,850
16,20,230,204,1020
16,21,218,215,1075
16,22,225,225,1125
16,23,235,233,1165
16,24,215,137,685
16,25,210,168,840
16,26,218,216,1080
16,27,208,208,1040
17,18,228,178,890
17,19,234,133,665
17,20,221,148,740
17,21,202,196,980
17,22,207,207,1035
17,23,186,185,925
17,24,223,123,615
17,25,209,126,630
17,26,193,192,960
17,27,231,230,1150
18,19,232,230,1150
18,20,218,216,1080
18,21,225,219,1095
18,22,206,199,995
18,23,184,168,840
18,24,198,198,990
18,25,247,244,1220
18,26,230,224,1120
18,27,197,188,940
19,20,214,213,1065
19,21,229,214,1070
19,22,196,140,700
19,23,221,119,595
19,24,201,201,1005
19,25,239,239,1195
19,26,210,160,800
19,27,220,141,705
20,21,211,209,1045
20,22,228,216,1080
20,23,218,171,855
20,24,192,187,935
20,25,198,197,985
20,26,208,203,1015
20,27,221,199,995
21,22,218,215,1075
21,23,215,214,1070
21,24,212,197,985
21,25,194,187,935
21,26,236,234,1170
21,27,217,216,1080
22,23,208,207,1035
22,24,194,128,640
22,25,217,175,875
22,26,208,207,1035
22,27,203,203,1015
23,24,235,150,750
23,25,233,138,690
23,26,228,226,1130
23,27,217,217,1085
24,25,196,194,970
24,26,198,165,825
24,27,236,173,865
25,26,215,204,1020
25,27,200,169,845
26,27,250,249,1245
