src,dst,avg_delay,max_delay,count
4,7,1.6145510835913313,5.0,646
11,24,1.669811320754717,5.0,636
6,9,1.6115214180206794,5.0,677
1,3,1.5939306358381502,5.0,692
7,11,1.5861486486486487,5.0,592
2,11,1.6729264475743348,5.0,639
8,12,1.5468998410174881,5.0,629
7,24,1.6809917355371902,4.0,605
7,22,1.6754250386398764,5.0,647
11,14,1.5975975975975976,5.0,666
0,11,1.5889967637540454,5.0,618
12,13,1.6013513513513513,5.0,592
20,24,1.6854460093896713,5.0,639
7,13,1.6365030674846626,5.0,652
0,18,1.6193447737909517,5.0,641
1,17,1.6605504587155964,5.0,654
12,17,1.559748427672956,5.0,636
14,23,1.551617873651772,5.0,649
5,9,1.5960960960960962,5.0,666
1,16,1.562111801242236,5.0,644
17,18,1.6079027355623101,5.0,658
10,22,1.6314199395770392,5.0,662
4,6,1.6188197767145136,5.0,627
18,23,1.549520766773163,5.0,626
9,19,1.638801261829653,5.0,634
2,5,1.5666666666666667,5.0,570
6,19,1.620414673046252,5.0,627
8,10,1.5737704918032787,5.0,610
11,13,1.6099173553719008,5.0,605
10,24,1.60828025477707,5.0,628
15,20,1.5892857142857142,5.0,672
9,10,1.6876923076923076,5.0,650
8,19,1.5876777251184835,5.0,633
14,16,1.6215384615384616,5.0,650
4,8,1.4923780487804879,5.0,656
5,23,1.610062893081761,5.0,636
14,17,1.5675675675675675,5.0,629
10,14,1.6334405144694535,5.0,622
9,18,1.6495176848874598,5.0,622
2,4,1.6347402597402598,5.0,616
12,16,1.6029173419773095,5.0,617
6,7,1.553191489361702,5.0,658
6,12,1.6198083067092652,5.0,626
16,17,1.5786963434022259,5.0,629
11,17,1.5833333333333333,5.0,648
16,24,1.6018099547511313,5.0,663
3,7,1.5895765472312704,5.0,614
3,18,1.7093206951026856,5.0,633
1,18,1.64573268921095,5.0,621
3,24,1.650842266462481,5.0,653
1,14,1.6045112781954887,4.0,665
6,8,1.7350565428109854,5.0,619
3,20,1.6577287066246056,5.0,634
5,8,1.5934065934065933,5.0,637
18,19,1.5911251980982568,5.0,631
8,17,1.6167471819645733,4.0,621
20,23,1.6428571428571428,5.0,630
20,21,1.54858934169279,5.0,638
12,23,1.667763157894737,5.0,608
13,21,1.6113744075829384,5.0,633
13,19,1.6199701937406856,5.0,671
7,15,1.5854037267080745,5.0,644
4,19,1.656957928802589,5.0,618
7,16,1.7265238879736409,5.0,607
6,17,1.613747954173486,4.0,611
2,16,1.5964343598055106,5.0,617
8,18,1.607085346215781,5.0,621
10,17,1.6485225505443235,5.0,643
2,8,1.565,5.0,600
2,24,1.6554487179487178,5.0,624
17,19,1.6048,5.0,625
4,11,1.5653495440729484,5.0,658
0,22,1.6140350877192982,5.0,627
3,6,1.5611620795107033,5.0,654
8,22,1.624,5.0,625
8,13,1.5712050078247262,5.0,639
1,13,1.6634768740031898,5.0,627
2,7,1.6592709984152139,5.0,631
7,12,1.621301775147929,5.0,676
8,14,1.5911251980982568,5.0,631
2,21,1.693522906793049,5.0,633
14,19,1.6109375,5.0,640
3,8,1.5874015748031496,5.0,635
0,6,1.5212418300653594,5.0,612
17,23,1.5590551181102361,5.0,635
14,22,1.5488215488215489,5.0,594
7,19,1.6257575757575757,5.0,660
7,20,1.6042692939244663,5.0,609
19,23,1.556105610561056,5.0,606
12,22,1.623003194888179,4.0,626
16,18,1.6280193236714975,5.0,621
10,21,1.5435139573070606,5.0,609
4,5,1.5562403697996918,5.0,649
12,14,1.5792988313856426,5.0,599
13,23,1.6146496815286624,5.0,628
5,18,1.685214626391097,5.0,629
12,20,1.5877616747181964,5.0,621
5,6,1.5512422360248448,5.0,644
1,2,1.5802469135802468,5.0,648
1,23,1.694189602446483,5.0,654
10,23,1.6503067484662577,5.0,652
5,7,1.5934426229508196,5.0,610
19,20,1.6542372881355931,4.0,590
2,13,1.5617977528089888,5.0,623
0,17,1.6748768472906403,5.0,609
8,23,1.6911764705882353,5.0,612
5,19,1.6462585034013606,5.0,588
5,11,1.615264797507788,5.0,642
9,21,1.6188271604938271,5.0,648
4,12,1.6005830903790088,5.0,686
9,15,1.6444805194805194,5.0,616
2,18,1.6044303797468353,5.0,632
3,5,1.6251896813353566,5.0,659
3,19,1.6393939393939394,5.0,660
1,19,1.5501567398119123,5.0,638
15,23,1.657762938230384,5.0,599
2,20,1.629690048939641,5.0,613
8,9,1.560747663551402,5.0,642
18,24,1.5893129770992367,5.0,655
3,11,1.674230145867099,5.0,617
5,14,1.7061538461538461,5.0,650
9,24,1.6451612903225807,5.0,651
11,21,1.5627906976744186,5.0,645
12,24,1.617363344051447,5.0,622
13,14,1.6294027565084226,5.0,653
0,9,1.584664536741214,5.0,626
18,20,1.6116352201257862,5.0,636
0,1,1.6008902077151335,5.0,674
4,22,1.6483333333333334,5.0,600
11,23,1.6357927786499216,5.0,637
5,22,1.603448275862069,5.0,638
3,14,1.5849673202614378,5.0,612
2,15,1.6026058631921825,5.0,614
1,24,1.6588050314465408,5.0,636
4,10,1.6701337295690937,4.0,673
23,24,1.5975232198142415,5.0,646
3,4,1.5039123630672926,5.0,639
16,20,1.5798722044728435,5.0,626
0,4,1.6019417475728155,5.0,618
8,21,1.6727272727272726,5.0,660
2,14,1.5676126878130217,5.0,599
6,20,1.626843657817109,5.0,678
5,24,1.713365539452496,5.0,621
0,14,1.636500754147813,5.0,663
2,17,1.6521008403361344,5.0,595
6,11,1.6219135802469136,5.0,648
13,18,1.575657894736842,5.0,608
7,18,1.6247960848287113,4.0,613
15,18,1.579034941763727,5.0,601
1,5,1.5612998522895125,5.0,677
10,12,1.5838509316770186,5.0,644
0,23,1.6609642301710732,5.0,643
7,23,1.611455108359133,5.0,646
11,12,1.566068515497553,5.0,613
3,16,1.6544901065449011,5.0,657
4,13,1.5722983257229832,5.0,657
1,6,1.5201938610662358,5.0,619
0,7,1.589171974522293,5.0,628
17,24,1.5661538461538462,5.0,650
0,16,1.6246153846153846,5.0,650
10,13,1.5974842767295598,5.0,636
1,20,1.58712715855573,5.0,637
11,22,1.6398176291793314,5.0,658
0,10,1.6304675716440422,5.0,663
2,19,1.576068376068376,5.0,585
2,10,1.56,5.0,600
7,17,1.6046511627906976,5.0,645
